epoch,train_loss,test_loss
1,0.13250136153923497,0.0660387132730749
2,0.05749857488616898,0.03677355787820286
3,0.037059326958213304,0.032152241820262537
4,0.02847551111433957,0.020638785428471036
5,0.022850521689129842,0.01792688026196427
6,0.018893473366325773,0.015908511045078438
7,0.015228942917609537,0.013171154798732864
8,0.012783149496425648,0.017053143224782415
9,0.01176009066654621,0.009731159545481205
10,0.009344987728557474,0.014105147940831052
11,0.008976186065607378,0.009160049621843629
12,0.008284295317591043,0.007670648085574309
13,0.007118815902268162,0.00828792822236816
14,0.006840171468620365,0.006273063494720393
15,0.0061556652339326366,0.006029714597389102
16,0.005688847382427068,0.0061703510323746335
17,0.0052788588124000144,0.005686502929569947
18,0.004908423011845632,0.005483457068395283
19,0.004527334737390079,0.005756046700601776
20,0.004275778561792764,0.0052016784385260605
21,0.0038895171931693077,0.004731262878825267
22,0.0035874584604784644,0.003979597395906846
23,0.003392266509173488,0.004200081910110182
24,0.0034415602551873875,0.004413369629118178
25,0.003478282530842399,0.0069222696539428495
26,0.003929969621822238,0.0037910040700808167
27,0.002882090464825868,0.0037947262689057323
28,0.0027167486991242482,0.0036086965313491723
29,0.0025813693960977566,0.00293349153879616
30,0.00244442857581669,0.00324411171540204
31,0.002406932380541253,0.002954332157969475
32,0.0022841796555833236,0.002531273232307285
33,0.0021533994735659077,0.0028123423237250084
34,0.002065504225430305,0.002577052982006636
35,0.0020020284636474745,0.0031195040145475003
36,0.0021745056020901414,0.002227442054491904
37,0.002204984289631751,0.003362176202548047
38,0.001986265827498927,0.0019330343089273407
39,0.001704196266301379,0.0021446713039444554
40,0.0017841283776293937,0.001871048770327535
41,0.0015758024579750978,0.0017080732149123731
42,0.0015876879931326854,0.0017492527193907234
43,0.0015344968092363528,0.0023930555875671822
44,0.001708142923480655,0.0027407662839525277
45,0.0016988175700896897,0.0023903640685603023
46,0.0015500321263774625,0.0020189776939029493
47,0.0014590553269167809,0.001593406396245377
48,0.0013474309368600214,0.00155892502839884
49,0.0013458647409680525,0.0014889054938167748
50,0.0012933981032236606,0.0011943973853097607
51,0.0013503075917125553,0.00284964416641742
52,0.0017540246709186987,0.0015797315863892436
53,0.0012941273885804254,0.00168942585393476
54,0.001317262395467559,0.0012944182413371487
55,0.0012753887040653845,0.0011465532136046225
56,0.0011992833043788433,0.0012266988342162222
57,0.001108763655301536,0.0017096616049659336
58,0.0011055352212703863,0.0013310149758278083
59,0.0010525208167933128,0.0011979645512635922
60,0.0011767483575150018,0.00105970170827479
61,0.0010390325726286785,0.001215040900408187
62,0.0010268126584501384,0.0011643802507832232
63,0.0010195121491985472,0.0010057645154625385
64,0.000947457057820331,0.0012802798009943217
65,0.0010243001200472685,0.0014923595008440316
66,0.0009572412488302467,0.001068449854048797
67,0.0010170605799774766,0.002674345664369563
68,0.0017938629253704504,0.0010192506645883743
69,0.000907134691825942,0.0009398041535556937
70,0.0009621284289342175,0.000902699649385694
71,0.0008690391546838942,0.0010171787952357489
72,0.0008226137752235691,0.001068667188519612
73,0.0008189052695760856,0.0025693860014952305
74,0.0012371577076673683,0.0008328001664873833
75,0.0007865702020746932,0.000865723064634949
76,0.0007584592409280909,0.0009882909022659685
77,0.00076416928188976,0.0007925850643207215
78,0.0007090730367643708,0.0009101403605503341
79,0.0007641333567507163,0.001965871585222582
80,0.0011524443209448175,0.0022541951653288882
81,0.0013789903290720809,0.0009824451634712103
82,0.0007563665370784096,0.0007668586299082057
83,0.0007653628012662552,0.0011156012769788504
84,0.001094988123293513,0.0009029295373087128
85,0.0007412837017123034,0.0005989436742513337
86,0.000637820155896259,0.0009561129328277376
87,0.0006078124975288488,0.0008531190057207519
88,0.0005596765156558438,0.0011041869778030862
89,0.0007158522460707212,0.0010082543724113041
90,0.0005843551446781242,0.0005971396668529552
91,0.0005487489877457454,0.000560169221393557
92,0.0005103520270003591,0.0005423248447995218
93,0.0004769375003446397,0.000587812776858401
94,0.0005524666534305701,0.00044468317193807
95,0.0004618624854530837,0.0007583728066593823
96,0.0005012165729076023,0.0006603942844473446
97,0.0005126468679156607,0.0006883898426571654
98,0.0004751063247936513,0.0007481286480065642
99,0.0005067748812458327,0.0005994735644587005
100,0.00041426345705986023,0.0009191932016013501
